IGNORE;MATERIAL_CATEGORY;MATERIAL_GROUP;MATERIAL_NUMBER;MATERIAL_NAME;DENSITY;PRICE_PER_KILO;SYNONYMS;SHOP_TYPE
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8159;TECAPEEK MT natural;1.32;142.87;PEEK MT natural;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8160;TECAPEEK MT yellow;1.32;179.68;PEEK MT yellow;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8161;TECAPEEK PVX black;1.44;127.91;PEEK PVX;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8162;TECAPEEK SD black;1.71;264.7;PEEK SD;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8163;TECAPEEK ST black;1.32;275.87;PEEK ST;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8164;TECAPEEK TF10 blue;1.35;185.75;PEEK TF;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8165;TECAPEEK black;1.32;103.27;PEEK black;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8166;TECAPEEK natural;1.31;104.25;PEEK natural;BOTH
0;TECAPEI / PEI||TECAPEI / PEI||||;KU;0.8167;TECAPEI natural;1.28;58.16;PEI;BOTH
0;TECAPET / PET||TECAPET / PET||||;KU;0.8168;TECAPET TF grey;1.43;12.86;PET TF;BOTH
0;TECAPET / PET||TECAPET / PET||||;KU;0.8169;TECAPET black;1.39;8.1;PET black;BOTH
0;TECAPET / PET||TECAPET / PET||||;KU;0.8170;TECAPET white;1.36;7.88;PET white;BOTH
0;TECAPRO / PP||TECAPRO / PP||||;KU;0.8171;TECAPRO MT white;0.93;44.09;PP;BOTH
0;TECACRAN / ABS||TECACRAN / ABS||||;KU;0.8172;TECARAN ABS grey;1.04;20.57;ABS;BOTH
0;TECASON / PPSU||TECASON / PPSU||||;KU;0.8173;TECASON P MT black;1.31;70.57;PPSU MT black;BOTH
0;TECASON / PPSU||TECASON / PPSU||||;KU;0.8174;TECASON P MT blue;1.31;89.89;PPSU MT blue;BOTH
0;TECASON / PPSU||TECASON / PPSU||||;KU;0.8175;TECASON P MT brown;1.31;89.5;PPSU MT brown;BOTH
0;TECASON / PPSU||TECASON / PPSU||||;KU;0.8176;TECASON P MT green;1.31;90.02;PPSU MT green;BOTH
0;TECASON / PPSU||TECASON / PPSU||||;KU;0.8177;TECASON P MT grey;1.31;90.05;PPSU MT grey;BOTH
0;TECASON / PPSU||TECASON / PPSU||||;KU;0.8178;TECASON P MT ivory;1.31;90.53;PPSU MT ivory;BOTH
0;TECASON / PPSU||TECASON / PPSU||||;KU;0.8179;TECASON P MT red;1.31;90.04;PPSU MT red;BOTH
0;TECASON / PPSU||TECASON / PPSU||||;KU;0.8180;TECASON P MT yellow;1.31;90.02;PPSU MT yellow;BOTH
0;TECASON / PPSU||TECASON / PPSU||||;KU;0.8181;TECASON S natural;1.31;40.71;PPSU S natural;BOTH
0;PA 6 C||PA 6 C||||;KU;0.8182;TECAST L black;1.14;6.53;PA 6 C L black;BOTH
0;PA 6 C||PA 6 C||||;KU;0.8183;TECAST L natural;1.14;6.26;PA 6 C L natural;BOTH
0;PA 6 C||PA 6 C||||;KU;0.8184;TECAST L yellow;1.14;7.09;PA 6 C L yellow;BOTH
0;PA 6 C||PA 6 C||||;KU;0.8185;TECAST T MO black;1.15;6.17;PA 6 C T MO;BOTH
0;PA 6 C||PA 6 C||||;KU;0.8186;TECAST T blue;1.15;6.61;PA 6 C T blue;BOTH
0;PA 6 C||PA 6 C||||;KU;0.8187;TECAST T natural;1.13;6.13;PA 6 C T natural;BOTH
0;PA 6 C||PA 6 C||||;KU;0.8188;TECARIM 1500 yellow;1.11;38.57;PA 6 C 500;BOTH
0;PA 6 C||PA 6 C||||;KU;0.8189;TECAGLIDE black;1.13;8.95;;BOTH
0;PA 6 C||PA 6 C||||;KU;0.8190;TECAGLIDE green;1.13;8.5;;BOTH
0;TECATRON / PPS||TECATRON / PPS||||;KU;0.8191;TECATRON CMP natural;1.36;33.31;PPS CMP;BOTH
0;TECATRON / PPS||TECATRON / PPS||||;KU;0.8192;TECATRON GF40 black;1.63;60.29;PPS GF40 black;BOTH
0;TECATRON / PPS||TECATRON / PPS||||;KU;0.8193;TECATRON GF40 natural;1.5;64.4;PPS GF40 natural;BOTH
0;TECATRON / PPS||TECATRON / PPS||||;KU;0.8194;TECATRON PVX black;1.5;66.48;PPS PVX;BOTH
0;Stahl (legiert)||Steel (alloyed)||Steel (alloyed)||Steel (alloyed);VA;1.4301B;SteelB;20.0;30.0;;BOTH
0;TECAFLON / PTFE, PVDF||TECAFLON / PTFE, PVDF||||;KU;3.23333;Test Material Create;3.0;3.0;;BOTH
0;TECAFLON / PTFE, PVDF||TECAFLON / PTFE, PVDF||||;KU;111111;111111;1.0;1.0;;BOTH
0;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.3535A;AlMg3-Blech;2.7;3.2;;BOTH
0;Elastomer||Rubber||Elastomere||Elastomere;KU;2.9012;EPDM 65 Premium;1.35;11.44;;BOTH
0;TECAFLON / PTFE, PVDF||TECAFLON / PTFE, PVDF||||;KU;2.3;glasic;2.3;1.2;;BOTH
1;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.4345;EN AW-7022 / AlZn5Mg3Cu;2.7;6.32;EN AW-7022||AlZn5Mg3Cu;BOTH
0;Kunststoff||Plastic||||;KU;0.1232;PP-H;0.903;6.85;;BOTH
1;Kunststoff||Plastic||||;KU;3.1234A;Test New Material;2.7;50.0;;BOTH
1;Kunststoff||Plastic||||;KU;0.5123;PMMA / Acrylglas;1.18;14.1;;BOTH
